Object              Attribute           Value               

AxB_i               syn_multstyle       logic               
A_pipe              syn_ramstyle        registers           
X_pipe              syn_ramstyle        registers           
pp_pipe             syn_multstyle       logic               
AxB_i               syn_multstyle       DSP                 
A_pipe              syn_ramstyle        registers           
X_pipe              syn_ramstyle        registers           
pp_pipe             syn_multstyle       DSP                 
mem                 syn_ramstyle        distributed         
mem                 syn_ramstyle        distributed         
mem                 syn_romstyle        logic               
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        registers           
mem                 syn_ramstyle        distributed         
full_r              syn_preserve        1                   
full_mem_r          syn_preserve        1                   
full_ext_r          syn_preserve        1                   
empty_r             syn_preserve        1                   
empty_mem_r         syn_preserve        1                   
empty_ext_r         syn_preserve        1                   
wr_addr_r           syn_preserve        1                   
wr_addr_p1_r        syn_preserve        1                   
wr_addr_p1cmp_r     syn_preserve        1                   
wr_cmpaddr_r        syn_preserve        1                   
waddr_r             syn_preserve        1                   
wr_cmpaddr_p1_r     syn_preserve        1                   
rd_addr_r           syn_preserve        1                   
rd_addr_p1_r        syn_preserve        1                   
rd_addr_p1cmp_r     syn_preserve        1                   
rd_cmpaddr_r        syn_preserve        1                   
raddr_r             syn_preserve        1                   
rd_cmpaddr_p1_r     syn_preserve        1                   
full_flag_r         syn_preserve        1                   
empty_flag_r        syn_preserve        1                   
wr_flag_addr_r      syn_preserve        1                   
wr_flag_addr_p1_r   syn_preserve        1                   
rd_flag_addr_r      syn_preserve        1                   
rd_flag_addr_p1_r   syn_preserve        1                   
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        distributed         
mem                 syn_ramstyle        registers           
full_r              syn_preserve        1                   
full_ext_r          syn_preserve        1                   
wr_addr_r           syn_preserve        1                   
wr_addr_arith_r     syn_preserve        1                   
wr_addr_nxt_c       syn_keep            1                   
rp_sync1_r          syn_maxfan          1                   
rp_sync1_r          CDC_Register        2                   
rp_sync1_r          syn_preserve        1                   
rp_sync2_r          syn_preserve        1                   
wr_grey_w           syn_keep            1                   
wr_grey_sync_r      syn_preserve        1                   
rp_sync_w           syn_keep            1                   
full_nxt_c          syn_keep            1                   
empty_r             syn_preserve        1                   
empty_ext_r         syn_preserve        1                   
rd_addr_r           syn_preserve        1                   
rd_addr_arith_r     syn_preserve        1                   
rd_addr_nxt_c       syn_keep            1                   
wp_sync1_r          syn_maxfan          1                   
wp_sync1_r          CDC_Register        2                   
wp_sync1_r          syn_preserve        1                   
wp_sync2_r          syn_preserve        1                   
rd_grey_w           syn_keep            1                   
rd_grey_sync_r      syn_preserve        1                   
wp_sync_w           syn_keep            1                   
empty_nxt_c         syn_keep            1                   
af_flag_r           syn_preserve        1                   
af_flag_ext_r       syn_preserve        1                   
ae_flag_r           syn_preserve        1                   
ae_flag_ext_r       syn_preserve        1                   
distmem             syn_ramstyle        distributed         
distmem             syn_ramstyle        registers           
dest_rst            syn_preserve        1                   
dest_rst_n          syn_preserve        1                   
lscc_reset_async    LATTICE_IP_MODULE   1                   
rstn_sync           syn_preserve        1                   
rst_sync            syn_preserve        1                   
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        block_ram           
mem                 syn_ramstyle        block_ram           
rom_y36             LATTICE_IP_GENERATED1                   
rom_y36             ORIG_MODULE_NAME    rom_y36             
mem                 syn_ramstyle        block_ram           
rom_dy18            LATTICE_IP_GENERATED1                   
rom_dy18            ORIG_MODULE_NAME    rom_dy18            
mem                 syn_ramstyle        block_ram           
gpll                LATTICE_IP_GENERATED1                   
gpll                ORIG_MODULE_NAME    gpll                
gpll_ipgen_lscc_pll LATTICE_IP_MODULE   1                   
pll_lock            syn_keep            1                   
gpll_ipgen_apb2lmmi LATTICE_IP_MODULE   1                   
gpll_ipgen_pll_init_bwLATTICE_IP_MODULE   1                   
usr_pll_lock        syn_keep            1                   
init_wdata          syn_keep            1                   
dly_wait_cntr       syn_preserve        1                   
init_request        syn_preserve        1                   
gpll_ipgen_pll_sip_lmmi_muxLATTICE_IP_MODULE   1                   
gpll_ipgen_pll_syncregGRP                 pll_syncreg         
sync_reg            syn_preserve        1                   
